iter	Passed	Remaining
0	43	43785
1	82	40946
2	115	38515
3	150	37352
4	186	37049
5	219	36409
6	254	36063
7	288	35758
8	321	35406
9	355	35169
10	387	34828
11	418	34428
12	447	33968
13	479	33752
14	506	33289
15	534	32848
16	562	32523
17	595	32462
18	626	32326
19	663	32524
20	693	32344
21	723	32183
22	756	32127
23	786	31964
24	816	31829
25	856	32078
26	887	31991
27	917	31861
28	946	31676
29	972	31455
30	1001	31289
31	1028	31101
32	1054	30909
33	1080	30699
34	1106	30520
35	1133	30349
36	1161	30221
37	1191	30151
38	1220	30084
39	1248	29968
40	1272	29761
41	1301	29676
42	1328	29558
43	1355	29449
44	1381	29325
45	1407	29196
46	1438	29162
47	1466	29088
48	1491	28953
49	1517	28831
50	1542	28696
51	1568	28602
52	1593	28477
53	1621	28402
54	1647	28303
55	1672	28193
56	1698	28099
57	1726	28041
58	1751	27931
59	1780	27893
60	1807	27823
61	1835	27775
62	1907	28375
63	1951	28543
64	1982	28513
65	2008	28428
66	2035	28350
67	2062	28273
68	2088	28179
69	2117	28137
70	2142	28034
71	2167	27942
72	2192	27847
73	2216	27742
74	2241	27647
75	2266	27555
76	2292	27485
77	2319	27422
78	2342	27310
79	2367	27224
80	2391	27133
81	2415	27047
82	2446	27025
83	2474	26979
84	2499	26903
85	2526	26848
86	2553	26794
87	2580	26746
88	2607	26687
89	2631	26608
90	2658	26554
91	2681	26467
92	2704	26378
93	2728	26293
94	2754	26244
95	2780	26179
96	2807	26133
97	2831	26063
98	2858	26012
99	2882	25945
100	2908	25887
101	2935	25840
102	2960	25785
103	2986	25729
104	3009	25648
105	3033	25585
106	3058	25522
107	3083	25463
108	3107	25400
109	3133	25355
110	3159	25300
111	3184	25248
112	3209	25193
113	3232	25122
114	3255	25054
115	3279	24989
116	3305	24945
117	3330	24896
118	3356	24852
119	3382	24805
120	3409	24768
121	3435	24727
122	3461	24682
123	3487	24636
124	3511	24579
125	3536	24529
126	3561	24484
127	3586	24429
128	3607	24360
129	3632	24309
130	3656	24257
131	3683	24219
132	3706	24161
133	3732	24124
134	3757	24078
135	3781	24026
136	3805	23970
137	3828	23916
138	3853	23871
139	3879	23832
140	3904	23788
141	3927	23731
142	3951	23683
143	3975	23634
144	4000	23587
145	4024	23540
146	4049	23499
147	4075	23462
148	4102	23433
149	4127	23391
150	4153	23352
151	4179	23316
152	4206	23288
153	4230	23242
154	4256	23203
155	4282	23169
156	4309	23140
157	4334	23098
158	4359	23057
159	4383	23012
160	4410	22981
161	4436	22951
162	4462	22913
163	4501	22946
164	4528	22917
165	4556	22892
166	4579	22843
167	4606	22811
168	4630	22766
169	4655	22729
170	4683	22703
171	4711	22681
172	4736	22643
173	4763	22614
174	4788	22572
175	4812	22532
176	4840	22508
177	4864	22466
178	4890	22430
179	4914	22388
180	4941	22358
